,text
225," ’s day so far:

 amy klobuchar drops out
 amy and pete buttigieg both endorsing joe bid… "
226, secretary of education chase buttigieg
227,“i think both of them behaved themselves is a nice way to phrase it” former new york mayor bloomberg said somewh… 
228,"rhony alum bethenny frankel gets dragged for pete buttigieg joke gone wrong

"
229,consider this: pete buttigieg and amy klobuchar hated each other so much because they're both doms and they were tr… 
230,with buttigieg and klobuchar rallying around biden tonight it’s now the midwestern and suburban democrats in a thr… 
231, @_itsjustasia_ i think both buttigieg and klobuchar dropped out to keep from getting buried tomorrow… 
232,pete buttigieg and amy klobuchar both look like characters from that knockoff ratatouille movie ratatoing
233,whatever he wants what's pete buttigieg going to do next cnn politics 
234,what was the payoff for buttigieg and klobuchar democrat establishment is scared to death of bernie as should th… 
235," ummm 
quid pro quo for political appointments is (spoiler alert) politics the secr… "
236, who managed buttigieg
237,opinion | mayor pete flew sky high the new york times 
238,critics saw buttigieg as a sellout who tugged democrats to the right in reality he did the opposite 
239,first buttigieg then klobuchar and now chrismatthews just announced he's also suspending his campaign for president
240,buttigieg was never ever a moderate despite what the moronic analysts on tv say 
241,warren swaps with buttigieg to speak at boise democratic gala 
242,"warren called out buttigieg's powerpoint and klobuchar's postit note on health care 

and chris matthews question… "
243,buttigieg set to endorse biden via 
244,trump falsely accuses biden of quid pro quo after buttigieg and klobuchar drop out 
245,the dropping out by steyer buttigieg and klobuchar is nothing but timing for tomorrow's supertuesday itdoesnttakeanidiot
246,when msnbc replaces chris matthews with pete buttigieg
247,"daddy porn: 

obama/buttigieg 

just sayin'"
248,why pete buttigieg should be dnc chairman 
249, biden and buttigieg just what the dems need two boring white guys 🙄
250, _bond this comment is just nuts how many berni… 
251,there may be plenty of second chances in life but there are very few when it comes to voting — a bitter pill to sw… 
252,"""buttigieg and klobuchar prepare to endorse biden aiming to slow sanders"" by alexander burns jonathan martin and… "
253,"no shyt we see you 
noblackagendanovote
ados
pete buttigieg plans to endorse joe biden for the democratic pr… "
254,"hummm

that makes trump the youngest in he the race

"
255,"whoa 😲
buttigieg: out
klobuchar: out
chris matthews: out "
256, klob v buttigieg sounds like it’d end with bloodshed or withering stares
257,joe biden just confirmed pete buttigieg will be a part of his administration 
258,klobuchar buttigieg christ matthews gone in the past hours 
259,when did michael moore become such a whiny poopydiaper baby man he's going off on about some dem… 
260, _smith i see buttigieg as secretary of state
261,as one of her constituents and a bernie sanders supporter i'm glad to see amytobernie trending i absolutely pos… 
262, it's not the end of the world for them i hope to live long enough to see especially pete buttig… 
263," vote warren 

but i doubt she will get enough delegates 

we were warren 
then buttigieg 

but we're voting biden"
264,"so true

biden amyklobuchar buttigieg "
265,biden surges higher with klobuchar buttigieg endorsements 
266, have you ever read a single article from the new york times/washington post/a cn… 
267, making room for pete buttigieg perhaps :) 
268," klobuchar and buttigieg must be saying ""we dropped out for this"""
269,pete buttigieg to endorse my urethra glans foreskin shaft and balls for presidential nominee
270,_law imo most people who would have voted for klobuchar or buttigieg will prefer biden's moderate proposals… 
271,the presidential race starts a with smaller field of democratic candidates this week monday sen klobuchar d… 
272,pete buttigieg is heading to dallas tonight expected to publicly endorse former vice president joe biden for presi… 
273, his name is literally buttigieg i’m quite frankly surprised that there were not more assrelated jokes… 
274,bv tonight pm the democratic empire strikes back buttigieg and klobuchar drop out is it enough to help biden
275,"ben folds was a buttigieg supporter
ben folds was a buttigieg supporter
ben folds was a buttigieg supporter
ben fol… "
276,big teamjoe unity rally in dallas tonight featuring amy klobuchar pete buttigieg and joebiden bidenbounceback… 
277,kissing up for a cabinet position biden nabs klobuchar buttigieg backing on super tuesday eve 
278,"yup 

that’s a republican calling a us veteran (pete buttigieg) a plague of locusts

or did he mean one of the us… "
279, i feel you brokered convention is looking good i had a bad read on the buttigieg angle tho lol glad i… 
280,klobuchar buttigieg to join biden on stage on super tuesday eve 
281,posted anti pete buttigieg posts on my story to piss one person off and it worked havdnsnfbsjdb
282,breaking: amy klobuchar & pete buttigieg are out via so now we know who the dnc w… 
283,"_oneal but who is the other candidate in the scenario ""% of buttigieg supporters' second choice"""
284,anyone else thinking deals were made with klobuchar and buttigieg to drop out and support biden the powers that b… 
285,he should have just said he really wanted to be vp or secretary of state so he's running for president at least th… 
286,pete buttigieg amy klobuchar endorse joe biden in presidential race: reports 
