,text
323,much of joe biden's success can be attributed to other moderate candidates dropping out of the race and endorsing h… 
324,the hidden booklet in the original release of kid a seems to have a picture of pete buttigieg in it 
325,indiana state senator writes homophobic comment on meme showing biden grabbing buttigieg’s shoulders… 
326, “put country above party by putting party above himself” how incredibly beautiful selfless and no… 
327, could not agree more i loved pete buttigieg's plan to let people earn loan forgiveness by service to america
328, days ago buttigieg klobuchar and bloomberg were still in the race
329, he says he won iowa also buttigieg did
330, yes because buttigieg and klobuchar were… 
331, but bloomberg and buttigieg voters were never going to go with sanders
332,"bernie voters: if biden is nominated he & dnc cheated klobuchar warren & buttigieg helped we’re staying home
b… "
333, huh no buttigieg was not doing just as well and if he wanted a future in… 
334, where was the positive media coverage they wrote him off for month… 
335, exactly neither have endorsed him abrams has too much debt i've donated to buttigieg m… 
336, one factor i think favors older prez candidates is they've done all the other stuff you do first incl… 
337, compared giannis to pete buttigieg yesterday it was wild
338, i'm assuming that's part of the challenge the model misestimated the effect of buttigieg… 
339,"i mean he really didn’t come *that* close 

didn’t win a single state fewer delegates than buttigieg who compete… "
340,after super tuesday joe biden should consider pete buttigieg for vp via 
341,i bet biden is gonna try to absorb bloomberg and or warren next since half of warren supporters are willing to vot… 
342,"what is more ominious for a campaign: the twink of death or the support of saira rao 

"
343,"video from called pete buttigieg the ""butt guy"" not criticizing you man but funny🤣🤣🤣 my nick name f… "
344,"joe ""women dont have final say about their bodies"" biden

pete ""i systematically erased black people from my police… "
345," they called buttigieg ""cia"" ""rat"" ""wall street pete"" harrassing people in nyc looking for pete butt… "
346, elizabeth warren is more stubborn and arrogant than yang buttigieg and klobuchar who all ended their… 
347, do not let the dnc push you out run independent regardless i do not want to vote for their power k… 
348, both of them are going to lose biden doesnt even know where he is half the time and america isn’t going… 
349, hmmmmaybe it's just me but lawrence definitely went in on pete buttigieg calling him out for disingen… 
350, neither is not an option i guess but i have just as much difficulty choosing between bernie and biden… 
351,mixed feelings i’m glad to see more dems voting against socialism but i’m disgusted to see the swamp still tryin… 
352, this piece reads like a tone deaf selfrighteous critic had a slow day butt… 
353,joe biden's big win in south carolina spelled the end for buttigieg klo via om… 
354,@_fustian i expect biden to choose buttigieg as vp if not him then perhaps klobuchar maybe warren is too far left for biden
355, ‘friends’ are just enemies that you hate slightly less than other… 
356,_b yea tell that to all the steyer buttigieg and klobuchar voters who voted early 😡 you… 
357,did pete buttigieg write this tweet 
358,how pete buttigieg departed shows why we endorsed him orlando sentinel 
359,this opinion piece really pisses me off it plays to hypocritical notions of who gay men are and how they should be… 
360,shoutout to trinity county for overwhelmingly selecting pete buttigieg 
361," yes buttigieg certainly can afford to retire after dropping out before super tuesday

have not you re… "
362, she has not even endorsed him yet & she accused him of siding with segregationists durin… 
363,i'll go ahead and say it: i find it awfully suspicious buttigieg klobuchar and bloomberg all withdrew just within… 
364," although reading this article soon after for some reason did not leave me in good spirits

i… "
365,_dreed not too mention it's beto not buttigieg someone needs to be demoted
366, dean has betrayed meeeee tell him buttigieg wants him to have a mandatory draft skskksksk
367,this be the pete buttigieg dance but if he had % of culture in him 👏🏽 
368,should i change my name now that buttigieg is yesterday’s news
369, guess what we’re helping build the new democratic establishment and you left off the key player: pete buttigieg teampete
370, can be the largest voice for bernie in the country she can campaign for him like no one else in the count… 
371,“buttigieg and klobuchar haven’t dropped out they’ve just suspended their campaigns if you’re curious why candida… 
372,guys remember pete buttigieg highhopes iowacaucus bernieforpresident
373, pandering to identity politics is going to turn off voters pick the most qualified can… 
374, we also had pete buttigieg
375,mayor pete buttigieg's run unimaginable in early s chicago tribune 
376, do not let the dnc push you out of running in the general election this time if they want to play… 
377, i know that’s hard i switched from buttigieg to biden i’m pretty comfortable with it though
