,text
392,"time for mike bloomberg to drop out and endorse joe biden thanks in advance mike

supertuesday supertuesday"
393,"so far warren is taking some of what would be bernie votes

this will continue until she drops out and endorses b… "
394,"simply iconic ⚡️create the most memorable stories with flowers from angie’s floral designs in west el paso 

bloom… "
395,"oops just saw that bloomberg beat tulsi and won american samoa

if tulsi doesn’t win any delegates she’s out of… "
396,all you folks who said would get nothing for his half billion must feel pretty silly now… 
397,"dang tulsigabbard's americansamoa peoples did not even vote for her 
supertuesday supertuesday"
398,elizabethwarren will forever be remembered as the spoiler who cost bernie the primary and handed trump the electio… 
399,"when you do a twitter search for twitter accounts in american samoa mike bloomberg's twitter account shows up
i s… "
400,"bernie is getting boned again by the 

supertuesday 
supertuesday 
berniebros"
401,"do it you’re not a dem anyway and they’ll never give you a fair shot

give you supporters and oppo… "
402,joe biden is marching through the south like sherman joementum supertuesday 
403,"tulsi’s agreement with bernie to split the middle voters has really backfired

stay in warren you’re stopping ber… "
404,again the only candidate crowds who “boo” when their candidate doesn’t win is the sanders crowd grow up already… 
405,goodbye liz supertuesday
406,"biden can not form complete sentences

supertuesday supertuesday vote superthursday"
407,it appears that 's win in south carolina has given him momentum just saw a poll that said % of voters… 
408,democrats must be excited tonight can not wait to see which turd floats supertuesday
409,does have a southern firewall there was plenty of confident talk about it maybe it isn’t an outsized claim supertuesday
410,canadians can wait months years for doctor appointment | canada’s healthcare system is not the cureall sanders sa… 
